HGNC symbol	Description	Phenotype description
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]	Ehlers-Danlos syndrome dermatosparaxis type
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]	EHLERS-DANLOS SYNDROME TYPE VII AUTOSOMAL RECESSIVE
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]	
ADAT1	adenosine deaminase, tRNA specific 1 [Source:HGNC Symbol;Acc:HGNC:228]	
ADAT2	adenosine deaminase, tRNA specific 2 [Source:HGNC Symbol;Acc:HGNC:21172]	
ADCY10	adenylate cyclase 10, soluble [Source:HGNC Symbol;Acc:HGNC:21285]	Idiopathic hypercalciuria
ADCY10	adenylate cyclase 10, soluble [Source:HGNC Symbol;Acc:HGNC:21285]	HYPERCALCIURIA ABSORPTIVE 2
ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	cAMP-mediated signaling
ADGB	androglobin [Source:HGNC Symbol;Acc:HGNC:21212]	
ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	
AGFG2	ArfGAP with FG repeats 2 [Source:HGNC Symbol;Acc:HGNC:5177]	
AGTPBP1	ATP/GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17258]	
AHSA1	activator of Hsp90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]	
AIMP2	aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]	
AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	Hemolytic anemia due to adenylate kinase deficiency
AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	ADENYLATE KINASE DEFICIENCY HEMOLYTIC ANEMIA DUE TO
AK7	adenylate kinase 7 [Source:HGNC Symbol;Acc:HGNC:20091]	
AKAP5	A-kinase anchoring protein 5 [Source:HGNC Symbol;Acc:HGNC:375]	
AKAP6	A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]	
AKR1C2	aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]	46XY disorder of sex development due to testicular 1720-desmolase deficiency
AKR1C2	aldo-keto reductase family 1 member C2 [Source:HGNC Symbol;Acc:HGNC:385]	46XY SEX REVERSAL 8
ALB	albumin [Source:HGNC Symbol;Acc:HGNC:399]	Congenital analbuminemia
ALB	albumin [Source:HGNC Symbol;Acc:HGNC:399]	Analbuminemia
ALB	albumin [Source:HGNC Symbol;Acc:HGNC:399]	HYPERTHYROXINEMIA FAMILIAL DYSALBUMINEMIC
ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	
ALKBH8	alkB homolog 8, tRNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:25189]	
ALMS1	ALMS1, centrosome and basal body associated protein [Source:HGNC Symbol;Acc:HGNC:428]	Alstrom Syndrome
ALOX15B	arachidonate 15-lipoxygenase, type B [Source:HGNC Symbol;Acc:HGNC:434]	negative regulation of cell proliferation
ALOX15B	arachidonate 15-lipoxygenase, type B [Source:HGNC Symbol;Acc:HGNC:434]	positive regulation of chemokine secretion
ALOX15B	arachidonate 15-lipoxygenase, type B [Source:HGNC Symbol;Acc:HGNC:434]	positive regulation of macrophage derived foam cell differentiation
AMDHD1	amidohydrolase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28577]	
AMY2A	amylase, alpha 2A (pancreatic) [Source:HGNC Symbol;Acc:HGNC:477]	
ANAPC1	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]	
ANAPC16	anaphase promoting complex subunit 16 [Source:HGNC Symbol;Acc:HGNC:26976]	
ANGPT2	angiopoietin 2 [Source:HGNC Symbol;Acc:HGNC:485]	
ANGPTL2	angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490]	
ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	Intellectual disability-hypotonia-spasticity-sleep disorder syndrome
ANK3	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	MENTAL RETARDATION AUTOSOMAL RECESSIVE 37
ANKLE1	ankyrin repeat and LEM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26812]	mRNA export from nucleus
ANKLE1	ankyrin repeat and LEM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26812]	positive regulation of protein export from nucleus
ANKRD13C	ankyrin repeat domain 13C [Source:HGNC Symbol;Acc:HGNC:25374]	
ANKRD34B	ankyrin repeat domain 34B [Source:HGNC Symbol;Acc:HGNC:33736]	
ANKRD36	ankyrin repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:24079]	
ANKRD36C	ankyrin repeat domain 36C [Source:HGNC Symbol;Acc:HGNC:32946]	
ANKRD37	ankyrin repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:29593]	
ANKRD66	ankyrin repeat domain 66 [Source:HGNC Symbol;Acc:HGNC:44669]	
ANO2	anoctamin 2 [Source:HGNC Symbol;Acc:HGNC:1183]	
ANPEP	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	
AOC2	amine oxidase, copper containing 2 [Source:HGNC Symbol;Acc:HGNC:549]	
APOOL	apolipoprotein O like [Source:HGNC Symbol;Acc:HGNC:24009]	
ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]	
AREL1	apoptosis resistant E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20363]	
ARHGEF19	Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604]	
ARID5A	AT-rich interaction domain 5A [Source:HGNC Symbol;Acc:HGNC:17361]	
ARIH2OS	ariadne homolog 2 opposite strand [Source:HGNC Symbol;Acc:HGNC:34425]	
ARL6IP4	ADP ribosylation factor like GTPase 6 interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:18076]	
ARMCX4	armadillo repeat containing, X-linked 4 [Source:HGNC Symbol;Acc:HGNC:28615]	
ARMCX5	armadillo repeat containing, X-linked 5 [Source:HGNC Symbol;Acc:HGNC:25772]	
ARR3	arrestin 3 [Source:HGNC Symbol;Acc:HGNC:710]	
ARSB	arylsulfatase B [Source:HGNC Symbol;Acc:HGNC:714]	Mucopolysaccharidosis type 6 rapidly progressing
ARSB	arylsulfatase B [Source:HGNC Symbol;Acc:HGNC:714]	Mucopolysaccharidosis type 6 slowly progressing
ARSB	arylsulfatase B [Source:HGNC Symbol;Acc:HGNC:714]	MUCOPOLYSACCHARIDOSIS TYPE VI
ART3	ADP-ribosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:725]	
ASTE1	asteroid homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:25021]	
ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	
ATF6	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]	Achromatopsia
ATF6	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]	ACHROMATOPSIA 7
ATG14	autophagy related 14 [Source:HGNC Symbol;Acc:HGNC:19962]	
ATG4B	autophagy related 4B cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:20790]	
ATOH8	atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]	negative regulation of endothelial cell proliferation
ATOH8	atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]	positive regulation of endothelial cell differentiation
ATOH8	atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]	canonical Wnt signaling pathway involved in positive regulation of endothelial cell migration
ATOH8	atonal bHLH transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24126]	tube formation
ATP10B	ATPase phospholipid transporting 10B (putative) [Source:HGNC Symbol;Acc:HGNC:13543]	
ATR	ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]	Familial cutaneous telangiectasia and oropharyngeal predisposition cancer syndrome
ATR	ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]	Seckel syndrome
ATR	ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]	CUTANEOUS TELANGIECTASIA AND CANCER SYNDROME FAMILIAL
ATR	ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]	SECKEL SYNDROME 1
ATR	ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]	Seckel syndrome type 1 (SCKL1)
ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	Machado-Joseph disease type 1
ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	Machado-Joseph disease type 2
ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	Machado-Joseph disease type 3
ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	MACHADO-JOSEPH DISEASE
ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	actin cytoskeleton organization
ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	intermediate filament cytoskeleton organization
ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	microtubule cytoskeleton organization
ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	positive regulation of ERAD pathway
ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	protein deubiquitination involved in ubiquitin-dependent protein catabolic process
ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	protein localization to cytosolic proteasome complex involved in ERAD pathway
ATXN3	ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]	negative regulation of cell-substrate adhesion
AUP1	ancient ubiquitous protein 1 [Source:HGNC Symbol;Acc:HGNC:891]	
AURKC	aurora kinase C [Source:HGNC Symbol;Acc:HGNC:11391]	Male infertility due to large-headed multiflagellar polyploid spermatozoa
AURKC	aurora kinase C [Source:HGNC Symbol;Acc:HGNC:11391]	SPERMATOGENIC FAILURE 5
AZGP1	alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]	
B4GALNT4	beta-1,4-N-acetyl-galactosaminyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:26315]	
BAG3	BCL2 associated athanogene 3 [Source:HGNC Symbol;Acc:HGNC:939]	Familial isolated dilated cardiomyopathy
BAG3	BCL2 associated athanogene 3 [Source:HGNC Symbol;Acc:HGNC:939]	Muscular dystrophy Selcen type
BAG3	BCL2 associated athanogene 3 [Source:HGNC Symbol;Acc:HGNC:939]	CARDIOMYOPATHY DILATED 1HH
BAG3	BCL2 associated athanogene 3 [Source:HGNC Symbol;Acc:HGNC:939]	Myopathy myofibrillar 6
BANP	BTG3 associated nuclear protein [Source:HGNC Symbol;Acc:HGNC:13450]	
BARHL2	BarH like homeobox 2 [Source:HGNC Symbol;Acc:HGNC:954]	
BCAT2	branched chain amino acid transaminase 2 [Source:HGNC Symbol;Acc:HGNC:977]	
BCL3	B-cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:HGNC:998]	DNA damage response signal transduction by p53 class mediator
BCL3	B-cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:HGNC:998]	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
BCL3	B-cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:HGNC:998]	negative regulation of interleukin-8 biosynthetic process
BCL3	B-cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:HGNC:998]	positive regulation of translation
BCL3	B-cell CLL/lymphoma 3 [Source:HGNC Symbol;Acc:HGNC:998]	negative regulation of protein import into nucleus translocation
BCL6	B-cell CLL/lymphoma 6 [Source:HGNC Symbol;Acc:HGNC:1001]	Follicular lymphoma
BCL6	B-cell CLL/lymphoma 6 [Source:HGNC Symbol;Acc:HGNC:1001]	Intravascular large B-cell lymphoma
BCL6	B-cell CLL/lymphoma 6 [Source:HGNC Symbol;Acc:HGNC:1001]	Primary mediastinal large B-cell lymphoma
BCL6	B-cell CLL/lymphoma 6 [Source:HGNC Symbol;Acc:HGNC:1001]	negative regulation of transcription DNA-templated
BCL6	B-cell CLL/lymphoma 6 [Source:HGNC Symbol;Acc:HGNC:1001]	RNA polymerase II transcription factor activity sequence-specific DNA binding
BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	WAGR syndrome
BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	BULIMIA NERVOSA SUSCEPTIBILITY TO 1
BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	BULIMIA NERVOSA SUSCEPTIBILITY TO 2
BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	CENTRAL HYPOVENTILATION SYNDROME CONGENITAL
BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	Obsessive-compulsive disorder
BMP2K	BMP2 inducible kinase [Source:HGNC Symbol;Acc:HGNC:18041]	
BNIPL	BCL2 interacting protein like [Source:HGNC Symbol;Acc:HGNC:16976]	
BOD1L1	biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]	
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	CARDIOFACIOCUTANEOUS SYNDROME
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	Craniopharyngioma
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	Differentiated thyroid carcinoma
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	Hairy cell leukemia
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	Hashimoto-Pritzker syndrome
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	NOONAN SYNDROME
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	Noonan syndrome with multiple lentigines
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	Pilocytic astrocytoma
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	CARDIOFACIOCUTANEOUS SYNDROME 1
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	LEOPARD SYNDROME 3
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	LUNG CANCER ALVEOLAR CELL CARCINOMA INCLUDED
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	NOONAN SYNDROME 1
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	NOONAN SYNDROME 7
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	LEOPARD syndrome type 3 (LEOPARD3)
BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	Noonan syndrome type 7 (NS7)
BRI3	brain protein I3 [Source:HGNC Symbol;Acc:HGNC:1109]	
BTAF1	B-TFIID TATA-box binding protein associated factor 1 [Source:HGNC Symbol;Acc:HGNC:17307]	
C10orf107	chromosome 10 open reading frame 107 [Source:HGNC Symbol;Acc:HGNC:28678]	
C10orf111	chromosome 10 open reading frame 111 [Source:HGNC Symbol;Acc:HGNC:28582]	
C11orf16	chromosome 11 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:1169]	
C11orf84	chromosome 11 open reading frame 84 [Source:HGNC Symbol;Acc:HGNC:25115]	
C11orf94	chromosome 11 open reading frame 94 [Source:HGNC Symbol;Acc:HGNC:37213]	
C15orf39	chromosome 15 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:24497]	
C17orf67	chromosome 17 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:27900]	
C19orf33	chromosome 19 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:16668]	
C19orf48	chromosome 19 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29667]	
C1orf143	chromosome 1 open reading frame 143 [Source:HGNC Symbol;Acc:HGNC:32045]	
C1orf145	chromosome 1 open reading frame 145 [Source:HGNC Symbol;Acc:HGNC:32047]	
C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	Immunodeficiency due to a classical component pathway complement deficiency
C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	C1q DEFICIENCY
C1QTNF7	C1q and tumor necrosis factor related protein 7 [Source:HGNC Symbol;Acc:HGNC:14342]	
C22orf34	chromosome 22 open reading frame 34 [Source:HGNC Symbol;Acc:HGNC:28010]	
C2orf16	chromosome 2 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:25275]	
C4orf22	chromosome 4 open reading frame 22 [Source:HGNC Symbol;Acc:HGNC:28554]	
C4orf33	chromosome 4 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:27025]	
C4orf50	chromosome 4 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:33766]	
C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	Immunodeficiency due to a late component of complement deficiency
C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	COMPLEMENT COMPONENT 5 DEFICIENCY
C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	ECULIZUMAB POOR RESPONSE TO
C5orf42	chromosome 5 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:25801]	JOUBERT SYNDROME
C5orf42	chromosome 5 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:25801]	Joubert syndrome with orofaciodigital defect
C5orf42	chromosome 5 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:25801]	Monomelic amyotrophy
C5orf42	chromosome 5 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:25801]	JOUBERT SYNDROME 1
C5orf42	chromosome 5 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:25801]	JOUBERT SYNDROME 17
C5orf42	chromosome 5 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:25801]	OROFACIODIGITAL SYNDROME VI
C5orf42	chromosome 5 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:25801]	cilium assembly
C6orf141	chromosome 6 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:21351]	
C7orf55-LUC7L2	C7orf55-LUC7L2 readthrough [Source:HGNC Symbol;Acc:HGNC:44671]	
C7orf57	chromosome 7 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:22247]	
C7orf61	chromosome 7 open reading frame 61 [Source:HGNC Symbol;Acc:HGNC:22135]	
C8orf44	chromosome 8 open reading frame 44 [Source:HGNC Symbol;Acc:HGNC:25646]	
C9orf152	chromosome 9 open reading frame 152 [Source:HGNC Symbol;Acc:HGNC:31455]	
CACUL1	CDK2 associated cullin domain 1 [Source:HGNC Symbol;Acc:HGNC:23727]	
CALN1	calneuron 1 [Source:HGNC Symbol;Acc:HGNC:13248]	
CAPN2	calpain 2 [Source:HGNC Symbol;Acc:HGNC:1479]	
CARD14	caspase recruitment domain family member 14 [Source:HGNC Symbol;Acc:HGNC:16446]	Pityriasis rubra pilaris
CARD14	caspase recruitment domain family member 14 [Source:HGNC Symbol;Acc:HGNC:16446]	Psoriasis 2
CARD14	caspase recruitment domain family member 14 [Source:HGNC Symbol;Acc:HGNC:16446]	canonical Wnt signaling pathway involved in negative regulation of apoptotic process
CARD14	caspase recruitment domain family member 14 [Source:HGNC Symbol;Acc:HGNC:16446]	positive regulation of NF-kappaB transcription factor activity
CARD14	caspase recruitment domain family member 14 [Source:HGNC Symbol;Acc:HGNC:16446]	positive regulation of tumor necrosis factor-mediated signaling pathway
CARD9	caspase recruitment domain family member 9 [Source:HGNC Symbol;Acc:HGNC:16391]	Predisposition to invasive fungal disease due to CARD9 deficiency
CARD9	caspase recruitment domain family member 9 [Source:HGNC Symbol;Acc:HGNC:16391]	CANDIDIASIS FAMILIAL 2
CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	
CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	
CBLN1	cerebellin 1 precursor [Source:HGNC Symbol;Acc:HGNC:1543]	
CBLN3	cerebellin 3 precursor [Source:HGNC Symbol;Acc:HGNC:20146]	
CBX2	chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]	46XY complete gonadal dysgenesis
CBX2	chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]	46XY SEX REVERSAL 5
CCDC102A	coiled-coil domain containing 102A [Source:HGNC Symbol;Acc:HGNC:28097]	
CCDC113	coiled-coil domain containing 113 [Source:HGNC Symbol;Acc:HGNC:25002]	centriolar satellite
CCDC113	coiled-coil domain containing 113 [Source:HGNC Symbol;Acc:HGNC:25002]	cilium assembly
CCDC117	coiled-coil domain containing 117 [Source:HGNC Symbol;Acc:HGNC:26599]	
CCDC144A	coiled-coil domain containing 144A [Source:HGNC Symbol;Acc:HGNC:29072]	
CCDC151	coiled-coil domain containing 151 [Source:HGNC Symbol;Acc:HGNC:28303]	Primary ciliary dyskinesia
CCDC151	coiled-coil domain containing 151 [Source:HGNC Symbol;Acc:HGNC:28303]	Ciliary dyskinesia primary 30
CCDC151	coiled-coil domain containing 151 [Source:HGNC Symbol;Acc:HGNC:28303]	Primary cillary dyskineasia
CCDC151	coiled-coil domain containing 151 [Source:HGNC Symbol;Acc:HGNC:28303]	cilium movement
CCDC151	coiled-coil domain containing 151 [Source:HGNC Symbol;Acc:HGNC:28303]	determination of left/right symmetry
CCDC36	coiled-coil domain containing 36 [Source:HGNC Symbol;Acc:HGNC:27945]	
CCDC43	coiled-coil domain containing 43 [Source:HGNC Symbol;Acc:HGNC:26472]	
CCDC88A	coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]	PEHO-like syndrome
CCDC88A	coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]	PEHO syndrome
CCHCR1	coiled-coil alpha-helical rod protein 1 [Source:HGNC Symbol;Acc:HGNC:13930]	
CCL17	C-C motif chemokine ligand 17 [Source:HGNC Symbol;Acc:HGNC:10615]	
CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	
CCNH	cyclin H [Source:HGNC Symbol;Acc:HGNC:1594]	
CCSER2	coiled-coil serine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:29197]	
CCT6B	chaperonin containing TCP1 subunit 6B [Source:HGNC Symbol;Acc:HGNC:1621]	
CD177	CD177 molecule [Source:HGNC Symbol;Acc:HGNC:30072]	
CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	CORONARY HEART DISEASE SUSCEPTIBILITY TO 7
CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	MALARIA SUSCEPTIBILITY TO MALARIA RESISTANCE TO INCLUDED
CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	PLATELET GLYCOPROTEIN IV DEFICIENCY
CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	positive regulation of lipid storage
CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	lipoprotein transport
CD36	CD36 molecule [Source:HGNC Symbol;Acc:HGNC:1663]	low-density lipoprotein particle clearance
